好玩儿,好玩兒,hǎo wán r,ㄏㄠˇㄨㄢˊㄦ˙,interesting/delightful/amusing,audio/ㄏㄠˇㄨㄢˊㄦ˙.wav
号,號,hào,ㄏㄠˋ,ordinal number,audio/ㄏㄠˋ.wav
喝,喝,hē,ㄏㄜ,to drink,audio/ㄏㄜ.wav
和,和,hé,ㄏㄜˊ,and,audio/ㄏㄜˊ.wav
很,很,hěn,ㄏㄣˇ,very,audio/ㄏㄣˇ.wav
后,後,hòu,ㄏㄡˋ,empress/queen,audio/ㄏㄡˋ.wav
后边,後邊,hòu bian,ㄏㄡˋㄅㄧㄢ˙,the back/the rear/the last bit/behind/near the end/at the back/later,audio/ㄏㄡˋㄅㄧㄢ˙.wav
后天,後天,hòu tiān,ㄏㄡˋㄊㄧㄢ,the day after tomorrow/life after birth,audio/ㄏㄡˋㄊㄧㄢ.wav
花,花,huā,ㄏㄨㄚ,flower,audio/ㄏㄨㄚ.wav
话,話,huà,ㄏㄨㄚˋ,speech,audio/ㄏㄨㄚˋ.wav
坏,壞,huài,ㄏㄨㄞˋ,bad/spoiled,audio/ㄏㄨㄞˋ.wav
回,回,huí,ㄏㄨㄟˊ,to return,audio/ㄏㄨㄟˊ.wav
回答,回答,huí dá,ㄏㄨㄟˊㄉㄚˊ,to reply/to answer/reply/answer,audio/ㄏㄨㄟˊㄉㄚˊ.wav
回到,回到,huí dào,ㄏㄨㄟˊㄉㄠˋ,to return to,audio/ㄏㄨㄟˊㄉㄠˋ.wav
回家,回家,huí jiā,ㄏㄨㄟˊㄐㄧㄚ,to return home,audio/ㄏㄨㄟˊㄐㄧㄚ.wav
回来,回來,huí lai,ㄏㄨㄟˊㄌㄞ˙,to return/to come back,audio/ㄏㄨㄟˊㄌㄞ˙.wav
回去,回去,huí qu,ㄏㄨㄟˊㄑㄩ˙,to return/to go back,audio/ㄏㄨㄟˊㄑㄩ˙.wav
会,會,huì,ㄏㄨㄟˋ,to meet/to be possible,audio/ㄏㄨㄟˋ.wav
火车,火車,huǒ chē,ㄏㄨㄛˇㄔㄜ,train,audio/ㄏㄨㄛˇㄔㄜ.wav
机场,機場,jī chǎng,ㄐㄧㄔㄤˇ,airport,audio/ㄐㄧㄔㄤˇ.wav
机票,機票,jī piào,ㄐㄧㄆㄧㄠˋ,air ticket/passenger ticket,audio/ㄐㄧㄆㄧㄠˋ.wav
鸡蛋,雞蛋,jī dàn,ㄐㄧㄉㄢˋ,(chicken) egg/hen's egg,audio/ㄐㄧㄉㄢˋ.wav
几,幾,jǐ,ㄐㄧˇ,how much,audio/ㄐㄧˇ.wav
记,記,jì,ㄐㄧˋ,to remember/to record,audio/ㄐㄧˋ.wav
记得,記得,jì de,ㄐㄧˋㄉㄜ˙,to remember,audio/ㄐㄧˋㄉㄜ˙.wav
记住,記住,jì zhu,ㄐㄧˋㄓㄨ˙,to remember/to bear in mind/to learn by heart,audio/ㄐㄧˋㄓㄨ˙.wav
家,家,jiā,ㄐㄧㄚ,home/family,audio/ㄐㄧㄚ.wav
家里,家裡,jiā lǐ,ㄐㄧㄚㄌㄧˇ,home,audio/ㄐㄧㄚㄌㄧˇ.wav
家人,家人,jiā rén,ㄐㄧㄚㄖㄣˊ,family member,audio/ㄐㄧㄚㄖㄣˊ.wav
间,間,jiān,ㄐㄧㄢ,between/among,audio/ㄐㄧㄢ.wav
见,見,jiàn,ㄐㄧㄢˋ,to see/to meet,audio/ㄐㄧㄢˋ.wav
见面,見面,jiàn miàn,ㄐㄧㄢˋㄇㄧㄢˋ,to meet/see each other,audio/ㄐㄧㄢˋㄇㄧㄢˋ.wav
教,教,jiào,ㄐㄧㄠˋ,teaching/to make/religion,audio/ㄐㄧㄠˋ.wav
叫,叫,jiào,ㄐㄧㄠˋ,to (be) call(ed),audio/ㄐㄧㄠˋ.wav
教学楼,教學樓,jiào xué lóu,ㄐㄧㄠˋㄒㄩㄝˊㄌㄡˊ,school building/academic building,audio/ㄐㄧㄠˋㄒㄩㄝˊㄌㄡˊ.wav
姐姐,姐姐,jiě jie,ㄐㄧㄝˇㄐㄧㄝ˙,older sister,audio/ㄐㄧㄝˇㄐㄧㄝ˙.wav
介绍,介紹,jiè shào,ㄐㄧㄝˋㄕㄠˋ,to introduce (sb to sb)/ to give a presentation/introduction,audio/ㄐㄧㄝˋㄕㄠˋ.wav
今年,今年,jīn nián,ㄐㄧㄣㄋㄧㄢˊ,this year,audio/ㄐㄧㄣㄋㄧㄢˊ.wav
今天,今天,jīn tiān,ㄐㄧㄣㄊㄧㄢ,today/the present time/now,audio/ㄐㄧㄣㄊㄧㄢ.wav
进,進,jìn,ㄐㄧㄣˋ,advance/enter,audio/ㄐㄧㄣˋ.wav
进来,進來,jìn lái,ㄐㄧㄣˋㄌㄞˊ,to come in,audio/ㄐㄧㄣˋㄌㄞˊ.wav
进去,進去,jìn qù,ㄐㄧㄣˋㄑㄩˋ,to go in,audio/ㄐㄧㄣˋㄑㄩˋ.wav
九,九,jiǔ,ㄐㄧㄡˇ,nine,audio/ㄐㄧㄡˇ.wav
就,就,jiù,ㄐㄧㄡˋ,at once/then/only,audio/ㄐㄧㄡˋ.wav
觉得,覺得,jué de,ㄐㄩㄝˊㄉㄜ˙,to think that.../to feel that .../to feel (uncomfortable etc),audio/ㄐㄩㄝˊㄉㄜ˙.wav
开,開,kāi,ㄎㄞ,open,audio/ㄎㄞ.wav
开车,開車,kāi chē,ㄎㄞㄔㄜ,to drive a car,audio/ㄎㄞㄔㄜ.wav
开会,開會,kāi huì,ㄎㄞㄏㄨㄟˋ,to hold a meeting/to attend a meeting,audio/ㄎㄞㄏㄨㄟˋ.wav
开玩笑,開玩笑,kāi wán xiào,ㄎㄞㄨㄢˊㄒㄧㄠˋ,to play a joke/to make fun of/to joke,audio/ㄎㄞㄨㄢˊㄒㄧㄠˋ.wav
看,看,kàn,ㄎㄢˋ,to see/to look at,audio/ㄎㄢˋ.wav
看病,看病,kàn bìng,ㄎㄢˋㄅㄧㄥˋ,to visit a doctor/to see a patient,audio/ㄎㄢˋㄅㄧㄥˋ.wav
看到,看到,kàn dào,ㄎㄢˋㄉㄠˋ,to see,audio/ㄎㄢˋㄉㄠˋ.wav
看见,看見,kàn jiàn,ㄎㄢˋㄐㄧㄢˋ,to see/to catch sight of,audio/ㄎㄢˋㄐㄧㄢˋ.wav
考,考,kǎo,ㄎㄠˇ,to check,audio/ㄎㄠˇ.wav
考试,考試,kǎo shì,ㄎㄠˇㄕˋ,to take an exam/exam,audio/ㄎㄠˇㄕˋ.wav
渴,渴,kě,ㄎㄜˇ,thirsty,audio/ㄎㄜˇ.wav
课,課,kè,ㄎㄜˋ,subject/class,audio/ㄎㄜˋ.wav
课本,課本,kè běn,ㄎㄜˋㄅㄣˇ,textbook,audio/ㄎㄜˋㄅㄣˇ.wav
课文,課文,kè wén,ㄎㄜˋㄨㄣˊ,text,audio/ㄎㄜˋㄨㄣˊ.wav
口,口,kǒu,ㄎㄡˇ,mouth,audio/ㄎㄡˇ.wav
快,快,kuài,ㄎㄨㄞˋ,fast/quick,audio/ㄎㄨㄞˋ.wav
块,塊,kuài,ㄎㄨㄞˋ,piece/chunk,audio/ㄎㄨㄞˋ.wav
来,來,lái,ㄌㄞˊ,to come,audio/ㄌㄞˊ.wav
来到,來到,lái dào,ㄌㄞˊㄉㄠˋ,to arrive/to come,audio/ㄌㄞˊㄉㄠˋ.wav
老,老,lǎo,ㄌㄠˇ,prefix used before a persons surname,audio/ㄌㄠˇ.wav
老,老,lǎo,ㄌㄠˇ,prefix used to indicate affection or familiarity,audio/ㄌㄠˇ.wav
老人,老人,lǎo rén,ㄌㄠˇㄖㄣˊ,old man or woman/the elderly/one's aged parents or grandparents,audio/ㄌㄠˇㄖㄣˊ.wav
老师,老師,lǎo shī,ㄌㄠˇㄕ,teacher,audio/ㄌㄠˇㄕ.wav
了,了,le,ㄌㄜ˙,completed action marker,audio/ㄌㄜ˙.wav
累,累,lèi,ㄌㄟˋ,tired,audio/ㄌㄟˋ.wav
冷,冷,lěng,ㄌㄥˇ,cold,audio/ㄌㄥˇ.wav
里,裏,lǐ,ㄌㄧˇ,lining/interior,audio/ㄌㄧˇ.wav
里边,裡邊,lǐ bian,ㄌㄧˇㄅㄧㄢ˙,inside,audio/ㄌㄧˇㄅㄧㄢ˙.wav
两,兩,liǎng,ㄌㄧㄤˇ,both,audio/ㄌㄧㄤˇ.wav
零,零,líng,ㄌㄧㄥˊ,zero,audio/ㄌㄧㄥˊ.wav
六,六,liù,ㄌㄧㄡˋ,six,audio/ㄌㄧㄡˋ.wav
楼,樓,lóu,ㄌㄡˊ,storied building/floor,audio/ㄌㄡˊ.wav
楼上,樓上,lóu shàng,ㄌㄡˊㄕㄤˋ,upstairs/(Internet slang) previous poster in a thread,audio/ㄌㄡˊㄕㄤˋ.wav
楼下,樓下,lóu xià,ㄌㄡˊㄒㄧㄚˋ,downstairs,audio/ㄌㄡˊㄒㄧㄚˋ.wav
路,路,lù,ㄌㄨˋ,road/path,audio/ㄌㄨˋ.wav
路口,路口,lù kǒu,ㄌㄨˋㄎㄡˇ,crossing/intersection (of roads),audio/ㄌㄨˋㄎㄡˇ.wav
路上,路上,lù shang,ㄌㄨˋㄕㄤ˙,on the road/on the way/en route,audio/ㄌㄨˋㄕㄤ˙.wav
妈妈,媽媽,mā ma,ㄇㄚㄇㄚ˙,mamma/mommy/mother,audio/ㄇㄚㄇㄚ˙.wav
马路,馬路,mǎ lù,ㄇㄚˇㄌㄨˋ,street/road,audio/ㄇㄚˇㄌㄨˋ.wav
马上,馬上,mǎ shàng,ㄇㄚˇㄕㄤˋ,at once/right away/immediately/on horseback,audio/ㄇㄚˇㄕㄤˋ.wav
吗,嗎,ma,ㄇㄚ˙,y/n question particle,audio/ㄇㄚ˙.wav
买,買,mǎi,ㄇㄞˇ,buy,audio/ㄇㄞˇ.wav
慢,慢,màn,ㄇㄢˋ,slow,audio/ㄇㄢˋ.wav
忙,忙,máng,ㄇㄤˊ,busy,audio/ㄇㄤˊ.wav
毛,毛,máo,ㄇㄠˊ,hair/pore/fur,audio/ㄇㄠˊ.wav
没,沒,méi,ㄇㄟˊ,negative prefix for verbs,audio/ㄇㄟˊ.wav
没关系,沒關係,méi guān xi,ㄇㄟˊㄍㄨㄢㄒㄧ˙,it doesn't matter,audio/ㄇㄟˊㄍㄨㄢㄒㄧ˙.wav
没什么,沒什麼,méi shén me,ㄇㄟˊㄕㄣˊㄇㄜ˙,it doesn't matter/it's nothing/never mind/it's my pleasure/you're welcome,audio/ㄇㄟˊㄕㄣˊㄇㄜ˙.wav
没事儿,沒事兒,méi shì r,ㄇㄟˊㄕˋㄦ˙,to have spare time/free from work/it's not important/never mind,audio/ㄇㄟˊㄕˋㄦ˙.wav
没有,沒有,méi yǒu,ㄇㄟˊㄧㄡˇ,haven't/hasn't/doesn't exist/to not have/to not be,audio/ㄇㄟˊㄧㄡˇ.wav
妹妹,妹妹,mèi mei,ㄇㄟˋㄇㄟ˙,younger sister/young woman,audio/ㄇㄟˋㄇㄟ˙.wav
门,門,mén,ㄇㄣˊ,opening/door way/gate,audio/ㄇㄣˊ.wav
门口,門口,mén kǒu,ㄇㄣˊㄎㄡˇ,doorway/gate,audio/ㄇㄣˊㄎㄡˇ.wav
门票,門票,mén piào,ㄇㄣˊㄆㄧㄠˋ,ticket (for theater,cinema etc),audio/ㄇㄣˊㄆㄧㄠˋ.wav
们,們,men,ㄇㄣ˙,plural marker for pronouns,audio/ㄇㄣ˙.wav
米饭,米飯,mǐ fàn,ㄇㄧˇㄈㄢˋ,(cooked) rice,audio/ㄇㄧˇㄈㄢˋ.wav
面包,麵包,miàn bāo,ㄇㄧㄢˋㄅㄠ,bread,audio/ㄇㄧㄢˋㄅㄠ.wav
面条儿,麵條兒,miàn tiáo r,ㄇㄧㄢˋㄊㄧㄠˊㄦ˙,noodles,audio/ㄇㄧㄢˋㄊㄧㄠˊㄦ˙.wav
