累,累,lèi,ㄌㄟˋ,tired,audio/ㄌㄟˋ.wav
冷,冷,lěng,ㄌㄥˇ,cold,audio/ㄌㄥˇ.wav
里,裏,lǐ,ㄌㄧˇ,lining/interior,audio/ㄌㄧˇ.wav
两,兩,liǎng,ㄌㄧㄤˇ,both,audio/ㄌㄧㄤˇ.wav
零,零,líng,ㄌㄧㄥˊ,zero,audio/ㄌㄧㄥˊ.wav
六,六,liù,ㄌㄧㄡˋ,six,audio/ㄌㄧㄡˋ.wav
楼,樓,lóu,ㄌㄡˊ,storied building/floor,audio/ㄌㄡˊ.wav
路,路,lù,ㄌㄨˋ,road/path,audio/ㄌㄨˋ.wav
吗,嗎,ma,ㄇㄚ˙,y/n question particle,audio/ㄇㄚ˙.wav
妈,媽,mā,ㄇㄚ,mother,audio/ㄇㄚ.wav
马,馬,mǎ,ㄇㄚˇ,horse,audio/ㄇㄚˇ.wav
买,買,mǎi,ㄇㄞˇ,buy,audio/ㄇㄞˇ.wav
慢,慢,màn,ㄇㄢˋ,slow,audio/ㄇㄢˋ.wav
忙,忙,máng,ㄇㄤˊ,busy,audio/ㄇㄤˊ.wav
毛,毛,máo,ㄇㄠˊ,hair/pore/fur,audio/ㄇㄠˊ.wav
么,麼,ma,ㄇㄜ˙,interrogative particle,audio/ㄇㄜ˙.wav
没,沒,méi,ㄇㄟˊ,negative prefix for verbs,audio/ㄇㄟˊ.wav
妹,妹,mèi,ㄇㄟˋ,younger sister,audio/ㄇㄟˋ.wav
们,們,men,ㄇㄣ˙,plural marker for pronouns,audio/ㄇㄣ˙.wav
门,門,mén,ㄇㄣˊ,opening/door way/gate,audio/ㄇㄣˊ.wav
米,米,mǐ,ㄇㄧˇ,rice/metre,audio/ㄇㄧˇ.wav
面,面,miàn,ㄇㄧㄢˋ,surface/face/side,audio/ㄇㄧㄢˋ.wav
明,明,míng,ㄇㄧㄥˊ,clear/bright,audio/ㄇㄧㄥˊ.wav
名,名,míng,ㄇㄧㄥˊ,name,audio/ㄇㄧㄥˊ.wav
拿,拿,ná,ㄋㄚˊ,to hold/to seize,audio/ㄋㄚˊ.wav
哪,哪,nǎ,ㄋㄚˇ,how/which,audio/ㄋㄚˇ.wav
那,那,nà,ㄋㄚˋ,that/those,audio/ㄋㄚˋ.wav
奶,奶,nǎi,ㄋㄞˇ,breast/milk/to breastfeed,audio/ㄋㄞˇ.wav
南,南,nán,ㄋㄢˊ,south,audio/ㄋㄢˊ.wav
